HouseYear;ProcentOfLifeSquare
2021;97.2
2020;97.28323091
2019;95.20831107
2018;83.6369323
2017;86.68532142
2016;86.12928013
2015;84.06629312
2014;84.06397629
2013;83.7731904
2012;84.24323919
2011;83.6663467
2010;80.48137638
2009;82.83198961
2008;84.41040362
2007;84.46404562
2006;84.68008329
2005;87.42386501
2004;85.76972938
2003;89.87950396
2002;91.52606185
2001;90.09599298
2000;90.20326233
1999;91.20646196
1998;87.81331003
1997;89.15857416
1996;91.22948224
1995;90.87554702
1994;93.51309334
1993;95.38442658
1992;93.69026708
1991;92.74262114
1990;92.09316542
1989;98.93259825
1988;93.72439912
1987;93.76598597
1986;93.60129841
1985;95.57144648
1984;95.04381217
1983;95.59879108
1982;96.78684926
1981;95.82724901
1980;95.3448252
1979;95.80055166
1978;95.30940079
1977;95.77022402
1976;95.59017811
1975;95.76539566
1974;95.78241378
1973;95.00258304
1972;93.92788664
1971;92.09973803
1970;91.64138969
1969;93.27554128
1968;93.78780166
1967;93.70360512
1966;93.27756418
1965;93.75336572
1964;93.30395689
1963;92.79802365
1962;90.83830511
1961;88.16441814
1960;86.74349237
1959;85.76486049
1958;84.8384845
1957;82.30030733
1956;79.19570183
1955;78.94914781
1954;77.51326962
1953;79.40811613
1952;77.09760377
1951;79.96885995
1950;79.50102506
1949;81.98082301
1948;75.36839391
1947;78.65155884
1946;77.62095158
1945;78.69010564
1944;79.93379881
1943;76.53280254
1942;76.9599138
1941;74.69569555
1940;78.78683784
1939;79.18384783
1938;77.28976697
1937;77.59162408
1936;79.2293708
1935;80.69062056
1934;81.2117986
1933;75.3109509
1932;84.2415622
1931;77.69424359
1930;81.49925343
1929;79.82047548
1928;80.33925647
1927;82.18469774
1926;84.0581406
1925;82.1998702
1924;72.82055928
1923;74.86838045
1922;86.42622326
1920;60.18858098
1919;52.44521602
1918;70.79838337
1917;73.73
1916;77.43377178
1915;79.59378957
1914;74.99540806
1913;78.1112069
1912;72.17681031
1911;78.02558006
1910;73.99491017
1909;69.949916138529
1908;69.949916138529
1907;69.949916138529
1906;69.949916138529
1905;69.949916138529
1904;69.949916138529
1903;69.949916138529
1902;69.949916138529
1901;69.949916138529
